"","FishID","Species","temp_bin","rate","rate_final","rep","mass","vol","trial","Method","lograte"
"1","Masu1","Masu",17,-0.000725215337593761,4.61500669377848,1,3.3,350,1,"Intermittent",1.5293133183933
"2","Masu1","Masu",17,-0.000610898860794662,3.88753820505694,2,3.3,350,1,"Intermittent",1.35777610512444
"3","Masu1","Masu",18,-0.000614476243400924,3.91030336709679,3,3.3,350,1,"Intermittent",1.36361495848031
"4","Masu1","Masu",18,-0.000586683801055844,3.73344237035537,4,3.3,350,1,"Intermittent",1.31733069555163
"5","Masu1","Masu",18,-0.000560225062517367,3.56506857965597,5,3.3,350,1,"Intermittent",1.27118329061138
"6","Masu1","Masu",18,-0.00129030286190608,8.21101821212962,6,3.3,350,1,"Intermittent",2.10547693674022
"7","Masu1","Masu",18,-0.000606751875520991,3.86114829876994,7,3.3,350,1,"Intermittent",1.3509646259643
"8","Masu1","Masu",19,-0.00102524312308974,6.52427441966195,8,3.3,350,1,"Intermittent",1.87552974697376
"9","Masu1","Masu",19,-0.00100645318143928,6.4047020637045,9,3.3,350,1,"Intermittent",1.8570324180614
"10","Masu1","Masu",19,-0.000548152264517923,3.48824168329587,10,3.3,350,1,"Intermittent",1.24939779358204
"11","Masu1","Masu",19,-0.000969345651569881,6.16856323726288,11,3.3,350,1,"Intermittent",1.81946594812033
"12","Masu1","Masu",20,-0.00109096971380937,6.94253454242329,15,3.3,350,1,"Intermittent",1.93766691568853
"13","Masu1","Masu",21,-0.00155593220338982,9.90138674884429,17,3.3,350,1,"Intermittent",2.29267482297171
"14","Masu1","Masu",21,-0.000727035287579871,4.62658819369009,18,3.3,350,1,"Intermittent",1.53181970524872
"15","Masu1","Masu",21,-0.00069392886913031,4.4159109853747,19,3.3,350,1,"Intermittent",1.48521415147424
"16","Masu1","Masu",22,-0.000661204501250342,4.20766500795672,20,3.3,350,1,"Intermittent",1.43690786389119
"17","Masu1","Masu",22,-0.00144054598499582,9.16711081360979,22,3.3,350,1,"Intermittent",2.21562216722443
"18","Masu1","Masu",22,-0.00086718532925812,5.51845209527894,23,3.3,350,1,"Intermittent",1.70809740344273
"19","Masu1","Masu",22,-0.000910363989997236,5.7932253908915,24,3.3,350,1,"Intermittent",1.75668919881342
"20","Masu1","Masu",22,-0.000959759655459841,6.10756144383535,25,3.3,350,1,"Intermittent",1.80952758448971
"21","Masu1","Masu",22,-0.000829008057793838,5.27550582232443,26,3.3,350,1,"Intermittent",1.66307456525297
"22","Masu1","Masu",21,-0.000604126146151699,3.84443911187445,27,3.3,350,1,"Intermittent",1.34662771764182
"23","Masu1","Masu",21,-0.000799402611836607,5.08710752986932,28,3.3,350,1,"Intermittent",1.62670940378693
"24","Masu1","Masu",21,-0.000683516254515151,4.34964889236914,29,3.3,350,1,"Intermittent",1.47009512744511
"25","Masu1","Masu",21,-0.000712559044178935,4.53446664477504,30,3.3,350,1,"Intermittent",1.51170746800128
"26","Masu1","Masu",21,-0.000745616838010555,4.74483442370353,31,3.3,350,1,"Intermittent",1.5570565365539
"27","Masu1","Masu",21,-0.000857321478188384,5.45568213392608,32,3.3,350,1,"Intermittent",1.69665765893308
"28","Masu1","Masu",21,-0.000885141706029441,5.63271994746008,33,3.3,350,1,"Intermittent",1.72859244226625
"29","Masu1","Masu",21,-0.00078602389552654,5.0019702442598,34,3.3,350,1,"Intermittent",1.6098318836692
"30","Masu1","Masu",21,-0.000828521811614328,5.27241152845481,35,3.3,350,1,"Intermittent",1.66248785342059
"31","Masu1","Masu",21,-0.000787239510975268,5.00970597893353,36,3.3,350,1,"Intermittent",1.61137722653502
"32","Masu1","Masu",21,-0.000921429563767695,5.8636426785217,37,3.3,350,1,"Intermittent",1.76877102795997
"33","Masu1","Masu",20,-0.000702806335093078,4.47240395059232,38,3.3,350,1,"Intermittent",1.49792606061783
