"","FishID","Species","temp_bin","rate_ggd","rate_final","rep","mass","vol","trial","bath","lograte","lograte_ggd","day"
"1","Masu1","Masu",18,0.0051336987547046,3.56506857965597,5,3.3,350,1,1,1.27118329061138,-5.27192887478285,1
"2","Masu1","Masu",19,0.00502306802394606,3.48824168329587,10,3.3,350,1,1,1.24939779358204,-5.29371437181219,1
"3","Masu1","Masu",21,0.00635891181893956,4.4159109853747,19,3.3,350,1,1,1.48521415147424,-5.05789801391999,1
"4","Masu1","Masu",22,0.00605903761145768,4.20766500795672,20,3.3,350,1,1,1.43690786389119,-5.10620430150304,1
"5","Masu1","Masu",22,0.00759672838414717,5.27550582232443,26,3.3,350,1,1,1.66307456525297,-4.88003760014125,1
"6","Masu1","Masu",21,0.00553599232109921,3.84443911187445,27,3.3,350,1,1,1.34662771764182,-5.19648444775241,1
"7","Masu1","Masu",21,0.00626349440501157,4.34964889236914,29,3.3,350,1,1,1.47009512744511,-5.07301703794912,1
"8","Masu1","Masu",21,0.00652963196847606,4.53446664477504,30,3.3,350,1,1,1.51170746800128,-5.03140469739295,1
"9","Masu1","Masu",20,0.00492917830710557,3.42304049104553,44,3.3,350,1,1,1.23052918858867,-5.31258297680556,1
"10","Masu1","Masu",20,0.00615044482053096,4.27114223647984,47,3.3,350,1,1,1.45188129415655,-5.09123087123767,1
"11","Masu1","Masu",18,0.00447882593649754,3.1102957892344,57,3.3,350,1,1,1.13471783074715,-5.40839433464708,2
"12","Masu1","Masu",19,0.00881226603349414,6.11962918992649,60,3.3,350,1,1,1.8115015048073,-4.73161066058693,2
"13","Masu1","Masu",20,0.00519843491879039,3.61002424915999,62,3.3,350,1,1,1.28371448954106,-5.25939767585316,2
"14","Masu1","Masu",20,0.00548347773371393,3.80797064841245,63,3.3,350,1,1,1.33709640902453,-5.2060157563697,2
"15","Ito1","Ito",18,0.00367953482027834,2.55523251408218,4,5.5,350,1,1,0.938143223069764,-5.60496894232446,1
"16","Ito1","Ito",18,0.00380610452398391,2.6431281416555,5,5.5,350,1,1,0.971963117857954,-5.57114904753627,1
"17","Ito1","Ito",19,0.00413750021470605,2.87326403799031,8,5.5,350,1,1,1.05544867900797,-5.48766348638626,1
"18","Ito1","Ito",20,0.00432479587764273,3.00333047058523,12,5.5,350,1,1,1.09972182976142,-5.44339033563281,1
"19","Ito1","Ito",21,0.00493919745383817,3.42999823183206,18,5.5,350,1,1,1.23255974567686,-5.31055241971737,1
"20","Ito1","Ito",22,0.00548863371138448,3.81155118846144,24,5.5,350,1,1,1.33803624236032,-5.2050759230339,1
"21","Ito1","Ito",22,0.00535908499835814,3.72158680441538,25,5.5,350,1,1,1.31415013766078,-5.22896202773345,1
"22","Ito1","Ito",21,0.00488580444062739,3.39291975043569,28,5.5,350,1,1,1.22169083401508,-5.32142133137915,1
"23","Ito1","Ito",21,0.00492426421480711,3.41962792694938,31,5.5,350,1,1,1.22953175186644,-5.31358041352779,1
"24","Ito1","Ito",21,0.00489206799868649,3.39726944353228,32,5.5,350,1,1,1.22297200411721,-5.32014016127702,1
"25","Ito1","Ito",20,0.00441878744095584,3.06860238955267,42,5.5,350,1,1,1.12122221023969,-5.42188995515453,1
"26","Ito1","Ito",20,0.00451247346485132,3.13366212836897,43,5.5,350,1,1,1.14220232968844,-5.40090983570579,1
"27","Ito1","Ito",20,0.00447481573164263,3.10751092475182,46,5.5,350,1,1,1.13382206000454,-5.40929010538969,1
"28","Ito1","Ito",17,0.00296816267144906,2.06122407739518,51,5.5,350,1,1,0.723300018655009,-5.81981214673922,2
"29","Ito1","Ito",17,0.00322580878526861,2.24014498976987,52,5.5,350,1,1,0.806540591348042,-5.73657157404619,2
"30","Ito1","Ito",18,0.00373884765970342,2.59642198590515,56,5.5,350,1,1,0.954134337983396,-5.58897782741083,2
"31","Ito1","Ito",19,0.00408414539392257,2.8362120791129,58,5.5,350,1,1,1.04246938694334,-5.50064277845088,2
"32","Ito1","Ito",20,0.00447443380737076,3.10724569956303,62,5.5,350,1,1,1.13373670664157,-5.40937545875266,2
"33","Ito2","Ito",18,0.00385684931313311,2.67836757856466,3,11.8,350,1,1,0.985207496462523,-5.5579046689317,1
"34","Ito2","Ito",18,0.0038018425080413,2.64016840836202,4,11.8,350,1,1,0.970842706169881,-5.57226945922435,1
"35","Ito2","Ito",19,0.00396280416876626,2.75194733942102,8,11.8,350,1,1,1.01230878450321,-5.53080338089102,1
"36","Ito2","Ito",19,0.00407406388780307,2.82921103319657,9,11.8,350,1,1,1.03999788593053,-5.5031142794637,1
"37","Ito2","Ito",20,0.00426605365897308,2.96253726317575,12,11.8,350,1,1,1.08604608466932,-5.45706608072491,1
"38","Ito2","Ito",20,0.00449603194861095,3.1222444087576,13,11.8,350,1,1,1.13855210498601,-5.40456006040822,1
"39","Ito2","Ito",20,0.00479251684790029,3.32813669993076,14,11.8,350,1,1,1.20241259781573,-5.3406995675785,1
"40","Ito2","Ito",20,0.00467167989224877,3.24422214739498,15,11.8,350,1,1,1.1768756133768,-5.36623655201743,1
"41","Ito2","Ito",22,0.00579239459171804,4.02249624424864,23,11.8,350,1,1,1.39190266619811,-5.15120949919612,1
"42","Ito2","Ito",22,0.00587777084971814,4.08178531230426,24,11.8,350,1,1,1.40653446925254,-5.13657769614169,1
"43","Ito2","Ito",21,0.00520820095977695,3.61680622206732,31,11.8,350,1,1,1.28559137732064,-5.25752078807359,1
"44","Ito2","Ito",21,0.00513332761925392,3.56481084670411,33,11.8,350,1,1,1.27111099403059,-5.27200117136364,1
